,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,rand_seed,interventions,location,avg_age,contacts_h,contacts_s,contacts_w,contacts_c,id,imbalance,alpha
27,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a2.5,1.918170547485353,2.5
28,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a2.5,1.918170547485353,2.5
29,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a2.5,1.918170547485353,2.5
30,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a2.5,1.918170547485353,2.5
31,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a2.5,1.918170547485353,2.5
32,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a2.5,1.918170547485353,2.5
33,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a2.5,1.918170547485353,2.5
34,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a2.5,1.918170547485353,2.5
35,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a2.5,1.918170547485353,2.5
36,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a2.5,1.918170547485353,2.5
37,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a2.5,1.918170547485353,2.5
38,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a2.5,1.918170547485353,2.5
39,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a2.5,1.918170547485353,2.5
0,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
1,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
2,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a1,3.028444290161133,1.0
3,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a1,3.028444290161133,1.0
4,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a1,3.028444290161133,1.0
5,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a1,3.028444290161133,1.0
6,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a1,3.028444290161133,1.0
7,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a1,3.028444290161133,1.0
8,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a1,3.028444290161133,1.0
9,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a1,3.028444290161133,1.0
10,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
11,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
12,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a1,3.028444290161133,1.0
13,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a1,3.028444290161133,1.0
14,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a1,3.028444290161133,1.0
15,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
16,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
17,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a1,3.028444290161133,1.0
18,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a1,3.028444290161133,1.0
19,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a1,3.028444290161133,1.0
20,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
21,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a1,3.028444290161133,1.0
22,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
23,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
24,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
25,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
26,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a1,3.028444290161133,1.0
27,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a1,3.028444290161133,1.0
28,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
29,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a1,3.028444290161133,1.0
30,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
31,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a1,3.028444290161133,1.0
32,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
33,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
34,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
35,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a1,3.028444290161133,1.0
36,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a1,3.028444290161133,1.0
37,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a1,3.028444290161133,1.0
38,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a1,3.028444290161133,1.0
39,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a1,3.028444290161133,1.0
0,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
1,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
2,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a0.4,3.836341094970706,0.4
3,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a0.4,3.836341094970706,0.4
4,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
5,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
6,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
7,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a0.4,3.836341094970706,0.4
8,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a0.4,3.836341094970706,0.4
9,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
10,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
11,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
12,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
13,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
14,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
15,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
16,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
17,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a0.4,3.836341094970706,0.4
18,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
19,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
20,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
21,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
22,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
23,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
24,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a0.4,3.836341094970706,0.4
25,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
26,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
27,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
28,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
29,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
30,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
31,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
32,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
33,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
34,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
35,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
36,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
37,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
38,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.4,3.836341094970706,0.4
39,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.4,3.836341094970706,0.4
0,86.0,194.0,491.0,1083.0,2458.0,5174.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Niger,20.534631729125977,4.916,20,16,20,ic0_a0.2,10.515301704406742,0.2
1,86.0,158.0,255.0,318.0,346.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Niger,20.534631729125977,4.916,20,16,20,ic0_a0.2,10.515301704406742,0.2
2,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.2,10.515301704406742,0.2
3,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a0.2,10.515301704406742,0.2
4,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.2,10.515301704406742,0.2
5,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.2,10.515301704406742,0.2
6,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.2,10.515301704406742,0.2
7,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.2,10.515301704406742,0.2
8,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.2,10.515301704406742,0.2
9,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a0.2,10.515301704406742,0.2
10,86.0,181.0,436.0,1028.0,2236.0,4785.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.2,10.515301704406742,0.2
11,86.0,147.0,220.0,252.0,273.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,UK,41.22822189331055,2.0,20,16,20,ic0_a0.2,10.515301704406742,0.2
12,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.2,10.515301704406742,0.2
13,86.0,126.0,162.0,188.0,195.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,pfizer,Japan,47.62212371826172,1.33,20,16,20,ic0_a0.2,10.515301704406742,0.2
14,86.0,195.0,564.0,1441.0,3238.0,6944.0,0.0,0.0,0.0,0.0,3.0,6.0,14,35,hybrid,True,42506.20431140699,86.59621209604231,6762,none,UK,41.22822189331055,2.0,20,16,20,ic0_a0.2,10.515301704406742,0.2
